TERM	NAME
PWY-7095	superpathway of seleno-compound metabolism
PWY-7076	L-ornithine biosynthesis I
CHLOROPHYLL-SYN	(+)-camphor biosynthesis
PWY-7064	canavanine degradation
PWY-6451	hinokinin biosynthesis
PWY-6164	anthocyanin biosynthesis (delphinidin 3-O-glucoside)
PWY-5389	copper transport I
PWY-7497	homogalacturonan degradation
PWY-6890	superpathway of pterocarpan biosynthesis (via daidzein)
PWY-6543	capsanthin and capsorubin biosynthesis
PWY-6535	prunasin and amygdalin biosynthesis
PWY-6473	quercetin glucoside degradation (Allium)
PWY-6435	monolignol glucosides biosynthesis
PWY-6431	pyrimidine nucleobases salvage I
PWY-6418	fatty acid biosynthesis (plant mitochondria)
PWY-8024	lipid IVA biosynthesis
PWY-5886	pyruvate fermentation to acetate IV
PWY-6121	olivetol biosynthesis
PWY-7101	guanine and guanosine salvage II
PWY-5161	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde
PWY-5061	abietic acid biosynthesis
PWY-6920	cinchona alkaloids biosynthesis
PWY-6835	4-hydroxyphenylpyruvate biosynthesis
PWY-6147	2-methylketone biosynthesis
PWY-4922	lupanine biosynthesis
PWY-5479	felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis
PWY-7155	dhurrin biosynthesis
PWY-5407	&alpha-linolenate biosynthesis I (plants and red algae)
PWY-5408	cembratrienediol biosynthesis
PWY-5380	anthocyanidin modification (Arabidopsis)
PWY-5411	glycine biosynthesis I
PWY-695	alkane biosynthesis II
PWY4FS-17	superpathway of oleoresin turpentine biosynthesis
PWY-5272	chlorophyll cycle
PWY-7642	farnesene biosynthesis
PWY-7640	linear furanocoumarin biosynthesis
PWY-5271	baicalein degradation (hydrogen peroxide detoxification)
PWY-5119	nitric oxide biosynthesis II (mammals)
PWY-6333	acetyl-CoA biosynthesis III (from citrate)
PWY-6330	gibberellin inactivation I (2&beta-hydroxylation)
PWY0-1312	icosapentaenoate biosynthesis I (lower eukaryotes)
PWY-5535	zeaxanthin biosynthesis
PWY-5172	polyisoprenoid biosynthesis
PWY-5958	dalpatein and dalnigrein biosynthesis
PWY-6012	pyridoxal 5'-phosphate salvage II (plants)
PWY-5148	rutin biosynthesis
PWY-5142	pyridoxal 5'-phosphate salvage I
PWY-7449	podophyllotoxin glucosides metabolism
PWY18C3-16	phytyl diphosphate biosynthesis
PWY18C3-15	phytochelatins biosynthesis
PWY-6605	superpathway of L-citrulline metabolism
PWY-6619	furaneol and mesifurane biosynthesis
PWY-6794	superpathway of ammonia assimilation (plants)
PWY-7227	seleno-amino acid detoxification and volatilization I
PWY-6596	"1D-myo-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)"
PWY-7219	benzoylanthranilate biosynthesis
PWY-6268	homoglutathione biosynthesis
PWY-7857	crocetin biosynthesis
PWY-3781	beta-carboline biosynthesis
PWY-4302	4-aminobutanoate degradation I
PWY-5926	laudanine biosynthesis
PWY-5301	guanosine ribonucleotides de novo biosynthesis
PWY-5342	dehydroabietic acid biosynthesis
PWY-5343	salicylate biosynthesis I
PWYQT-4450	tricin biosynthesis
PWY-5802	"diacylglyceryl-N,N,N-trimethylhomoserine biosynthesis"
PWY-7033	indole-3-acetate inactivation II
PWY-2724	superpathway of glycoalkaloid metabolism (Solanaceae)
PWY-6859	superpathway of guanosine nucleotides degradation (plants)
PWY-5694	triacylglycerol biosynthesis (Chlamydomonas)
PWY-5692	9-lipoxygenase and 9-hydroperoxide lyase pathway
PWY-5705	syringetin biosynthesis
PWY-5697	levopimaric acid biosynthesis
PWY-5698	superpathway of flavones and derivatives biosynthesis
PWY-5706	"vindoline, vindorosine and vinblastine biosynthesis"
PWY-4801	volatile cinnamoic ester biosynthesis
PWY-6310	cannabinoid biosynthesis
PWY-5377	betaxanthin biosynthesis (via dopaxanthin)
PWY-5375	superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside)
PWY-5997	glyoxylate cycle
PWY-5666	methylhalides biosynthesis (plants)
PWY18C3-3	mannitol degradation II
PWY-5400	"D-myo-inositol (1,3,4)-trisphosphate biosynthesis"
PWY-7826	formaldehyde oxidation II (glutathione-dependent)
PWY-6963	pyruvate fermentation to acetate VII
PWY-6964	L-N&delta-acetylornithine biosynthesis
PWY-5986	4-hydroxybenzoate biosynthesis III (plants)
PWY-6011	coumarins biosynthesis (engineered)
PWY-7261	pentose phosphate pathway (oxidative branch) I
PWY-7679	quercetin gentiotetraside biosynthesis
PWY-7450	phenylpropanoid biosynthesis
PWY-7678	cyanidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-5286	maysin biosynthesis
PWY-5125	heliannuol and heliespirone biosynthesis
PWY-5153	rot-2'-enonate biosynthesis
PWY-7267	glycyrrhetinate biosynthesis
PWY-6010	cis-zeatin biosynthesis
PWY-7253	heme degradation I
PWY-7682	"fatty acid &beta-oxidation III (unsaturated, odd number)"
PWY-5353	4-aminobenzoate biosynthesis
PWY-7631	cholesterol biosynthesis I
PWY-6684	nucleobase ascorbate transport I
PWY-6316	flavonoid biosynthesis (in equisetum)
PWY-5195	afrormosin conjugates interconversion
PWY-2261	choline biosynthesis I
SULFMETII-PWY	cytokinins 7-N-glucoside biosynthesis
PWY-5288	lactucaxanthin biosynthesis
PWY-7636	Fe(II)-nicotianamine transport in phloem
PWY-7739	methyl indole-3-acetate interconversion
PWY-1901	kaempferol triglucoside biosynthesis
PWY-7473	curcuminoid biosynthesis
PWY-7474	dolabralexins biosynthesis
PWY-6115	UDP-&alpha-D-galactose biosynthesis
PWY-5379	ammonia assimilation cycle I
PWY-7214	glutathione-glutaredoxin redox reactions
PWY-7212	superpathway of polymethylated quercetin/quercetagetin glucoside biosynthesis (Chrysosplenium)
PWY-6312	&alpha-solanine/&alpha-chaconine biosynthesis
PWY-6008	solasodine glycosylation
PWY-6443	DIMBOA-glucoside biosynthesis
PWY-6444	ponciretin biosynthesis
PWY-6446	allantoin degradation to glyoxylate I
PWY-7468	apigeninidin 5-O-glucoside biosynthesis
PWY-6458	hinokiresinol biosynthesis
PWY-6323	plaunotol biosynthesis
PWY-3901	pyridoxal 5'-phosphate biosynthesis II
PWY-6243	pyruvate decarboxylation to acetyl CoA
PWY-6244	GDP-glucose biosynthesis
PWY-4021	(-)-4'-demethyl-epipodophyllotoxin biosynthesis
PWY-3981	L-proline degradation
PWY-3941	"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)"
PWY-5877	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
PWY-5943	CMP phosphorylation
PWY-7393	superpathway of diterpene resin acids biosynthesis
PWY-6275	avenacin A-2 biosynthesis
PWY-6290	(Z)-butanethial-S-oxide biosynthesis
PWY-4961	olivetol biosynthesis
PWY-5399	"formate assimilation into 5,10-methylenetetrahydrofolate"
PWY-5439	naringenin biosynthesis (engineered)
PWY-5394	purine nucleosides salvage II (plant)
PWY-5461	UDP-&alpha-D-glucuronate biosynthesis (from myo-inositol)
PWY-5426	gibberellin inactivation III (epoxidation)
PWY-5403	(4R)-carvone biosynthesis
PWY-5404	acacetin biosynthesis
PWY-7067	jasmonoyl-L-isoleucine inactivation
PWY-2861	thiosulfate disproportionation IV (rhodanese)
PWY0-1507	glycolipid desaturation
PWY0-1264	colupulone and cohumulone biosynthesis
PWY-7102	coniferin metabolism
PWY-5472	lacinilene C biosynthesis
PWY-5305	nitrite reduction (hemoglobin)
PWY-5813	nitrate reduction II (assimilatory)
PWY-6105	N-methyl-&Delta1-pyrrolinium cation biosynthesis
PWY-699	phenolic malonylglucosides biosynthesis
PWY-2582	secologanin and strictosidine biosynthesis
PWY-2602	indole-3-acetate biosynthesis II
PWY-6546	methylerythritol phosphate pathway II
PWY-7115	indole-3-acetate inactivation VII
PWY-241	thiamine diphosphate biosynthesis IV (eukaryotes)
PWY-7117	formononetin biosynthesis
PWYQT-4433	putrescine biosynthesis II
PWY-6213	indole glucosinolate activation (herbivore attack)
PWY-5037	ajugose biosynthesis II (galactinol-independent)
PWY-5038	UDP-&alpha-D-xylose biosynthesis
PWY-6552	Calvin-Benson-Bassham cycle
PWY-6553	suberin monomers biosynthesis
PWY-6673	pyruvate fermentation to ethanol II
PWY-5373	"1,3,5-trimethoxybenzene biosynthesis"
PWY-6188	taxiphyllin biosynthesis
CALVIN-PWY	(4S)-carvone biosynthesis
PWY-7633	&alpha-tomatine biosynthesis
PWY-5318	marneral biosynthesis
CAMALEXIN-SYN	oxalate degradation VI
PWY-6326	tricetin methylation
PWY-5	abscisic acid degradation to 7'-hydroxyabscisate
PWY-31	"(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis II"
PWY-5140	chrysoeriol biosynthesis
PWY-5291	hyoscyamine and scopolamine biosynthesis
PWY-5710	"phosphatidate metabolism, as a signaling molecule"
PWY-5174	artemisinin and arteannuin B biosynthesis
PWY-6027	D-mannose degradation
PWY-2921	jasmonic acid biosynthesis
PWYIO2-3	lipoate biosynthesis and incorporation I
PWY-6032	urea degradation II
PWY-6036	salicylate glucosides biosynthesis III
PWY-5269	chlorophyll a degradation I
PWY-7680	glycine cleavage
PWY-6806	pyruvate fermentation to acetoin III
PWY-6304	N-methylanthraniloyl-&beta-D-glucopyranose biosynthesis
PWY-5667	xyloglucan biosynthesis
PWY0-1319	dalcochinin biosynthesis
PWYQT-4482	ajugose biosynthesis I (galactinol-dependent)
PWY-1001	urea degradation I
PWY18C3-7	lotaustralin biosynthesis
PWY-6483	gentiodelphin biosynthesis
PWY-5339	shisonin biosynthesis
PWY-7507	phenylphenalenone biosynthesis
PWY-6902	trans-lycopene biosynthesis I
PWY-6814	L-pipecolate biosynthesis
PWY-6039	indole-3-acetate inactivation IX
PWY-6040	guanosine nucleotides degradation II
PWY-5086	phytol salvage pathway
PWY-5064	S-adenosyl-L-methionine biosynthesis
PWY-7764	palmitate biosynthesis II (bacteria and plants)
PWY-5098	putrescine biosynthesis III
PWY-6927	wax esters biosynthesis II
PWY-7164	superpathway of pyrimidine ribonucleotides de novo biosynthesis
PWY-5068	vernolate biosynthesis I
PWY18C3-1	methyl indole-3-acetate interconversion
PWY66-341	L-alanine biosynthesis II
PWY-3385	superpathway of methylsalicylate metabolism
PWY-3542	L-arginine biosynthesis I (via L-ornithine)
PWY-3561	superpathway of acetyl-CoA biosynthesis
CHOLINE-BETAINE-ANA-PWY	aucuparin biosynthesis
PWY-6163	UMP biosynthesis I
ARO-PWY	CDP-diacylglycerol biosynthesis II
PWY-5363	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)
PWY-6232	superpathway of phospholipid biosynthesis II (plants)
PWY-5371	linamarin biosynthesis
PWY-7057	stachyose biosynthesis
PWY-5848	pyrimidine ribonucleosides salvage II
PWY-5968	ubiquinol-10 biosynthesis (eukaryotic)
PWY-6457	salicylate glucosides biosynthesis IV
PWY18C3-13	betaxanthin biosynthesis (via dopamine)
PWY-6128	phylloquinol biosynthesis
PWY-5973	flavonoid biosynthesis
PWY-2781	superpathway of formononetin derivative biosynthesis
PWY-7205	spermidine hydroxycinnamic acid conjugates biosynthesis
PWY-1269	trehalose biosynthesis I
PWY-5111	abscisic acid biosynthesis
PWYQT-4429	(+)-secoisolariciresinol diglucoside biosynthesis
PWY-5843	ethylene biosynthesis I (plants)
COA-PWY	biotin biosynthesis from 8-amino-7-oxononanoate I
PWY-7851	superpathway of isoleucine and valine biosynthesis
PWY-5846	heme b biosynthesis I (aerobic)
PWY-5133	TCA cycle II (plants and fungi)
PWY-116	"benzoate biosynthesis III (CoA-dependent, non-&beta-oxidative)"
PWY-7643	adenosylcobalamin salvage from cobalamin
PWY-6135	ricinoleate biosynthesis
PWY-6137	hydroxymethylpyrimidine salvage
PWY-8030	noscapine biosynthesis
PWY-5476	selinene biosynthesis
PWY-6540	ursolate biosynthesis
PWY-5745	salicylate glucosides biosynthesis I
PWY-5176	nonaprenyl diphosphate biosynthesis I
PWY-5319	glycine betaine biosynthesis III (plants)
PWY-7398	volatile esters biosynthesis (during fruit ripening)
PWY-6332	serotonin and melatonin biosynthesis
PWY-6013	sulfur volatiles biosynthesis
PWY-5397	L-phenylalanine degradation V
PWY-5398	4-aminobutanoate degradation IV
PWY-7854	naringenin C-glucosylation
PWY-6257	costunolide biosynthesis I
PWY-4421	6-methoxymellein biosynthesis
PWY-6432	calmodulin regulated calcium transport
PWY-282	methylsalicylate degradation
PWY-321	L-leucine biosynthesis
CYANCAT-PWY	sucrose degradation III (sucrose invertase)
P401-PWY	hydroxycinnamic acid tyramine amides biosynthesis
ASPSYNII-PWY	"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)"
PWY-7464	"fructose 2,6-bisphosphate biosynthesis"
PWY-7256	methyl ketone biosynthesis (engineered)
PWY-7452	phosphopantothenate biosynthesis II
PWY-8028	linoleate biosynthesis I (plants)
PWY-2902	&gamma-glutamyl cycle
PWY-2881	glucosinolate biosynthesis from homomethionine
PWY-2901	sapienate biosynthesis
PWY-2841	Rubisco shunt
PWY-6317	superpathway of guanosine nucleotides de novo biosynthesis I
PWY-3821	salvigenin biosynthesis
MANNCAT-PWY	L-glutamate biosynthesis IV
PWY-6364	anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)
PWY-6351	L-glutamate biosynthesis V
PWY-6363	chlorogenic acid biosynthesis II
PWY-6367	"lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P3)"
PWY0-1535	S-methyl-5'-thioadenosine degradation I
PWY-6196	fatty acid &alpha-oxidation I
PWY-5054	L-homoserine biosynthesis
PWY-4101	L-threonine biosynthesis
PWY-2343	L-lysine biosynthesis VI
PWY-5821	L-selenocysteine biosynthesis II (archaea and eukaryotes)
PWY-5825	costunolide biosynthesis
PWY-6095	flavonol acylglucoside biosynthesis II - isorhamnetin derivatives
PWY-7055	superpathway of gibberellin GA12 biosynthesis
PWY-7056	phytosterol biosynthesis (plants)
PWY-5421	coniferyl alcohol 9-methyl ester biosynthesis
PWY-6337	purine nucleotides degradation I (plants)
PWY-7260	putrescine biosynthesis I
PWY-5946	isoprene biosynthesis I
PWY-6669	"3,5-dimethoxytoluene biosynthesis"
PWY-7475	cinnamate esters biosynthesis
PWY-6786	chlorophyll a degradation III
PWY-861	superpathway of Allium flavor precursors
PWY-5976	matairesinol biosynthesis
TRIGLSYN-PWY	plumbagin biosynthesis
PWY-6804	sucrose degradation II (sucrose synthase)
PWY-6795	dTDP-L-rhamnose biosynthesis
PWY18C3-9	patchoulol biosynthesis
PWY-6949	phloridzin biosynthesis
PWY-6603	galactolipid biosynthesis I
PWY-6302	L-tryptophan biosynthesis
PWY-4441	ferulate and sinapate biosynthesis
PWY-6950	hydroxylated mugineic acid phytosiderophore biosynthesis
PWY-6054	guaiacol biosynthesis
PWY-6055	punicate biosynthesis
PWY-6053	5-aminoimidazole ribonucleotide biosynthesis I
PWY-6046	protein NEDDylation
PWY-5368	pyrimidine ribonucleosides salvage I
PWY-6820	flavonol glucosylation I
PWY-6098	NAD/NADH phosphorylation and dephosphorylation
PWY-2981	phospholipases
PWY-5406	simplecoumarins biosynthesis
PWY-5409	4-hydroxycoumarin and dicoumarol biosynthesis
PWY-7053	des-methyl avenacin A-1 biosynthesis
PWY-7994	anthocyanidin acylglucoside and acylsambubioside biosynthesis
DTDPRHAMSYN-PWY	salicylate biosynthesis II
PWY-3221	fatty acid &beta-oxidation II (peroxisome)
PWY-6325	CDP-diacylglycerol biosynthesis I
PWY-7135	sporopollenin precursors biosynthesis
PWY-6653	indole-3-acetate inactivation V
PWY-5032	dimorphecolate biosynthesis
PWY-5883	wighteone and luteone biosynthesis
PWY-8031	guanosine deoxyribonucleotides de novo biosynthesis I
PWY-5882	"(1,4)-&beta-D-xylan degradation"
PWY-5670	D-myo-inositol-5-phosphate metabolism
PWY-7154	superpathway of gibberellin biosynthesis
PWY-7188	"(E,E)-4,8,12-trimethyltrideca-1,3,7,11-tetraene biosynthesis"
PWY-5349	glutathione biosynthesis
PWY-7058	siroheme biosynthesis
PWY-7120	chlorophyll a biosynthesis II
ETOH-ACETYLCOA-ANA-PWY	daphnetin modification
PWY66-21	pyrimidine deoxyribonucleotides de novo biosynthesis II
PWY66-162	nonaprenyl diphosphate biosynthesis II
PWY-5708	&gamma-glutamyl cycle (plant pathway)
ETHYL-PWY	carbon concentration mechanism (Chlamydomonas)
PWY-6271	oryzalide A biosynthesis
PWY-5859	hydroxycinnamic acid serotonin amides biosynthesis
PWY-7157	vitamin E biosynthesis (tocotrienols)
PWY4FS-13	glycerol-3-phosphate shuttle
PWY-5725	seleno-amino acid biosynthesis (plants)
PWY-6577	L-ornithine biosynthesis II
PWY-2501	inosine-5'-phosphate biosynthesis II
PWY-5136	(-)-medicarpin biosynthesis
PWY-5137	chalcone 2'-O-glucoside biosynthesis
PWY-6837	superpathway of choline biosynthesis
PWY-6799	taxadiene biosynthesis (engineered)
PWY-4381	pinolenate and coniferonate biosynthesis
FASYN-ELONG-PWY	S-methyl-L-methionine cycle
PWY-5949	superpathway of coenzyme A biosynthesis II (plants)
PWY-5937	L-glutamate biosynthesis II
PWY-8001	epoxysqualene biosynthesis
PWY-6437	chelerythrine biosynthesis
PWY-6445	methylsalicylate biosynthesis
PWY-6449	petroselinate biosynthesis
PWY-5168	phosphatidylglycerol biosynthesis II (non-plastidic)
RIBOSYN2-PWY	quercetin triglucoside biosynthesis
PWY1F-FLAVSYN	"astaxanthin biosynthesis (bacteria, fungi, algae)"
PWY-6787	caffeine biosynthesis I
PWY-7897	sesaminol glucoside biosynthesis
PWY-7168	"2,3-cis-flavanols biosynthesis"
PWY-7171	glyceollin biosynthesis
PWY-7172	superpathway of betalain biosynthesis
PWY-3101	betacyanin biosynthesis (via dopamine)
PWY-6360	salvianin biosynthesis
PWY-2161	pelargonidin conjugates biosynthesis
PWY-2161B-PMN	rotenoid biosynthesis I
PWY-3841	adenosine 5'-phosphoramidate biosynthesis
PWY-1801	isovitexin glycosides biosynthesis
PWY-1722	phospholipases (Chlamydomonas)
PWY-2321	L-lysine degradation I
PWY-2904	gibberellin inactivation II (methylation)
PWY-2181	ent-kaurene biosynthesis I
PWY-822	hydroxyjasmonate sulfate biosynthesis
PWY-862	methiin metabolism
PWY66-423	lysine degradation II
PWY-5975	oleate biosynthesis I (plants)
PWY-7113	gramine biosynthesis
PWY-5034	starch degradation I
PWY-401	UDP-&beta-L-arabinose biosynthesis II (from &beta-L-arabinose)
PWY-5338	sesquiterpenoid phytoalexins biosynthesis
PWY-6707	diphyllin biosynthesis
PWY-5769	3-methylthiopropanoate biosynthesis
PWY-5477	labdane-type diterpenes biosynthesis
PWY-7448	S-methyl-5-thio-&alpha-D-ribose 1-phosphate degradation I
PWY-5748	3&beta-hydroxysesquiterpene lactone biosynthesis
PWY-4041	hordatine biosynthesis
PWYQT-4470	geranyl &beta-primeveroside biosynthesis
PWY-5998	vitexin and derivatives biosynthesis
PWY-5661	(-)-maackiain biosynthesis
PWY-66	chlorophyll a biosynthesis I
PWY-6	L-ascorbate degradation III
PWY-5115	"26,27-dehydrozymosterol metabolism"
PWY-5659	lycopadiene biosynthesis
PWY-2345	superpathway of purine nucleotides de novo biosynthesis I
PWY-7145	isoprene biosynthesis II (engineered)
PWY-5307	iron reduction and absorption
PWY18C3-20	phenylpropanoid volatiles glycoconjugation (tomato)
PWY-5829	oleoresin sesquiterpene volatiles biosynthesis
PWY-5835	tetrahydroxyxanthone biosynthesis (from benzoate)
PWY-7697	7-dehydroporiferasterol biosynthesis
PWY-5122	daidzein conjugates interconversion
PWY-5120	&beta-carotene biosynthesis (engineered)
PWY-5733	superpathway of pyrimidine ribonucleosides salvage
PWY-5070	rose anthocyanin biosynthesis I (via cyanidin 5-O-&beta-D-glucoside)
PWY-5036	phosphatidylcholine acyl editing
PWY-5035	ammonium transport
PWY-7232	superpathway of scopolin and esculin biosynthesis
PWY-102	superpathway of lipid-dependent phytate biosynthesis
PWY-6477	theobromine biosynthesis II (via xanthine)
PWY-6494	DIBOA-glucoside biosynthesis
PWY-6413	bergamotene biosynthesis II
PWY-5672	2-oxoisovalerate decarboxylation to isobutanoyl-CoA
GLUCONEO-PWY	(+)-pisatin biosynthesis
PWY-5267	B series fagopyritols biosynthesis
PWYQT-4471	indole-3-acetate biosynthesis I
PWYQT-4475	L-alanine biosynthesis III
PWY-1187	D-serine degradation
PWYQT-4474	sucrose biosynthesis II
PWY-2821	mangrove triterpenoid biosynthesis
PWYQT-4473	6-gingerol biosynthesis
PWYQT-4472	gallate biosynthesis
PWY-601	polymethylated myricetin biosynthesis (tomato)
PWY-2161B	Organic Nitrogen Assimilation
PWY-7061	glutamate-glutamine shuttle
PWY-5921	superpathway of jasmonoyl-amino acid conjugates biosynthesis
GLUTATHIONESYN-PWY	NAD biosynthesis III (from nicotinamide)
PWYQT-4432	anthocyanidin sambubioside biosynthesis
GLUT-REDOX-PWY	biochanin A conjugates interconversion
PWY-6842	alizarin biosynthesis
PWY-4081	"D-myo-inositol (1,4,5)-trisphosphate biosynthesis"
PWY-2762	hydrogen production VIII
PWY-4261	dhurrin degradation
PWY-6118	ppGpp biosynthesis
PWYIO2-1	dimethylsulfoniopropanoate biosynthesis I (Wollastonia)
PWY1F-353	canthaxanthin biosynthesis
GLYSYN2-PWY	extended VTC2 cycle
GLYSYN-PWY	cis-calamenene related sesquiterpenoids biosynthesis
GLYCLEAV-PWY	raspberry ketone biosynthesis
GLYOXDEG-PWY	geranylgeranyl diphosphate biosynthesis
PWY-782	pyrethrin I biosynthesis
GLYCOLYSIS	gentisate 5-O-&beta-D-xylopyranoside biosynthesis
PWY-5484	pentose phosphate pathway (non-oxidative branch)
PWY-1042	2-O-acetyl-3-O-trans-coutarate biosynthesis
PWY-7066	(Z)-phenylmethanethial S-oxide biosynthesis
GLYOXYLATE-BYPASS	saponin biosynthesis II
PWY-7495	volatile benzenoid biosynthesis I (ester formation)
PWY-5773	daphnin interconversion
PWY-5467	superpathway of linamarin and lotaustralin biosynthesis
PWY18C3-23	spermine biosynthesis
PWY-6599	chorismate biosynthesis I
PWY-6618	&alpha-eleostearate biosynthesis
PWY-7226	superpathway of avenacin A biosynthesis
PWY-6607	"gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)"
PWY-6606	choline degradation I
PWY-7221	GDP-L-fucose biosynthesis II (from L-fucose)
PWY-5865	NAD de novo biosynthesis II (from tryptophan)
PWY-5827	L-homomethionine biosynthesis
HEME-BIOSYNTHESIS-II	crepenynate biosynthesis
PWY-5874	salicin biosynthesis
PWY-5105	lupinate biosynthesis
PWY-7630	eupatolitin 3-O-glucoside biosynthesis
PWY-7632	L-ascorbate biosynthesis I (L-galactose pathway)
PWY-6401	coenzyme A biosynthesis I (prokaryotic)
PWY-801	juglone biosynthesis
PWY-1061	allantoin degradation to ureidoglycolate I (urea producing)
PWY-1081	gluconeogenesis I
PWY-6840	L-glutamine biosynthesis I
PWY-6841	acetate and ATP formation from acetyl-CoA I
PWY-5907	indole-3-acetate inactivation I
PWY-6448	thalianol and derivatives biosynthesis
PWY-6785	steviol glucoside biosynthesis (rebaudioside A biosynthesis)
PWY-7461	myo-inositol biosynthesis
PWY-5473	sanguinarine and macarpine biosynthesis
PWY-5474	phenylethyl acetate biosynthesis
PWY-6235	superpathway of purines degradation in plants
PWY-6433	acetaldehyde biosynthesis I
PWY-5925	hypoglycin biosynthesis
PWY-6910	copper transport II
PWY-5317	arabidopyrone biosynthesis
PWY-5808	aromatic polyketides biosynthesis
PWY-5780	lotaustralin degradation
PWY-7169	solasodine and soladulcidine biosynthesis
PWY-5826	phosphatidylinositol biosynthesis II (eukaryotes)
PWY-5905	CMP-KDO biosynthesis II (from D-arabinose 5-phosphate)
PWY-6066	cyanide degradation
PWY-6958	&delta-carotene biosynthesis
PWY-6068	thioredoxin pathway
PWY-6069	vanillin biosynthesis I
PWY-7430	superpathway of bitter acids biosynthesis
PWYQT-4476	A series fagopyritols biosynthesis
PWYQT-4477	divinyl ether biosynthesis II
PWY-1822	casbene biosynthesis
PWY-1921	GA12 biosynthesis
PWYDQC-4	flavin biosynthesis I (bacteria and plants)
PWY-581	robustaquinone biosynthesis
PWY-1961	adenine and adenosine salvage II
PWY-1962	L-arginine degradation I (arginase pathway)
PWY-1981	sterculate biosynthesis
PWY-2021	L-proline biosynthesis IV
PWY-1741	purine deoxyribonucleosides salvage
PWY-5788	betulinate biosynthesis
PWY-5797	geraniol and geranial biosynthesis
PWY-5811	t-anethole biosynthesis
PWY-5784	"lipid-dependent phytate biosynthesis II (via Ins(1,3,4)P3)"
PWY-6219	theobromine biosynthesis I
PWY4LZ-283	kaempferide triglycoside biosynthesis
PWY-5695	plant sterol biosynthesis II
PWY-6124	lupulone and humulone biosynthesis
PWY-5934	IAA biosynthesis VII
PWY-2002	cyanide detoxification I
PWY-2083	phosphatidylcholine biosynthesis I
PWY-5422	thymine degradation
PWY-6270	vicianin bioactivation
PWY-7391	superpathway of L-isoleucine biosynthesis I
PWY-6024	aromatic  glucosinolate activation
PWY-735	myricetin gentiobioside biosynthesis
PWY-6220	linustatin bioactivation
PWY-6233	"unsaturated, even numbered fatty acid &beta-oxidation"
PWY-7859	CO2 fixation into oxaloacetate (anaplerotic)
PWY-5795	"arachidonate biosynthesis I (6-desaturase, lower eukaryotes)"
PWY-7619	barbaloin biosynthesis
PWY-6824	starch biosynthesis
PWY-6575	lysine degradation III
PWY-7166	anthocyanin biosynthesis (pelargonidin 3-O-glucoside)
PWY-7191	dimethylsulfoniopropanoate degradation I (cleavage)
PWY-7143	&beta-caryophyllene biosynthesis
PWY-5320	epoxypseudoisoeugenol-2-methylbutanoate biosynthesis
PWY-5348	gallate biosynthesis
PWY-6887	nicotine biosynthesis
PWY-4681	neoabietic acid biosynthesis
