TERM	NAME	LINK
PWY-6475	trans-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6475
HISTSYN-PWY	L-histidine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=HISTSYN-PWY
PWY-8043	ophthalmate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-8043
PWY-5320	kaempferol glycoside biosynthesis (Arabidopsis)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5320
PWY-6535	4-aminobutanoate degradation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6535
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7229
PWY-3481	superpathway of L-phenylalanine and L-tyrosine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-3481
PWY-5864	superpathway of plastoquinol biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5864
PWY-4841	UDP-alpha-D-glucuronate biosynthesis (from myo-inositol)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4841
PWY-5348	kaempferol triglucoside biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5348
PWY66-21	ethanol degradation II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY66-21
PWY-6132	lanosterol biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6132
PWY-7226	guanosine deoxyribonucleotides de novo biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7226
PWYQT-4482	CDP-diacylglycerol biosynthesis IV	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-4482
PWY-695	abscisic acid biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-695
PWY-6932	selenate reduction	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6932
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7250
PWY18C3-22	methylsalicylate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY18C3-22
PWY-3801	sucrose degradation II (sucrose synthase)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-3801
PWY-5053	superpathway of gibberellin GA12 biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5053
GLUGLNSYN-PWY	L-glutamate biosynthesis IV	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=GLUGLNSYN-PWY
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ARGSYNBSUB-PWY
PWY-5060	luteolin biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5060
PWY-6787	flavonoid biosynthesis (in equisetum)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6787
PWY-5172	acetyl-CoA biosynthesis III (from citrate)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5172
PWY-6213	cadmium transport I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6213
PWY-5871	ubiquinol-9 biosynthesis (eukaryotic)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5871
PWY-5484	glycolysis II (from fructose 6-phosphate)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5484
PWY-6684	aromatic  glucosinolate activation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6684
PWY-6039	chlorogenic acid biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6039
PWY-3742	tetrahydrofolate biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-3742
PWY-6012	acyl carrier protein metabolism	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6012
PWY-5063	phytyl diphosphate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5063
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ASPARAGINE-BIOSYNTHESIS
PWY4FS-13	extended VTC2 cycle	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY4FS-13
PWY-7061	glutamate-glutamine shuttle	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7061
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=DTDPRHAMSYN-PWY
UDPNACETYLGALSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=UDPNACETYLGALSYN-PWY
PWY-6275	beta-caryophyllene biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6275
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ARGASEDEG-PWY
PWY-6792	scopoletin biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6792
PWY-8028	cycloartenol biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-8028
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6121
PWY-6124	inosine-5'-phosphate biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6124
PWY0-1264	biotin-carboxyl carrier protein assembly	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY0-1264
PWY-7546	diphthamide biosynthesis II (eukaryotes)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7546
PWY-6898	thiamine salvage III	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6898
PWY-5107	phytol salvage pathway	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5107
PWY-5934	iron reduction and absorption	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5934
PWY-6599	guanine and guanosine salvage II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6599
PWY-6959	L-ascorbate degradation V	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6959
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY0-1507
PWY-5690	TCA cycle II (plants and fungi)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5690
HOMOSER-THRESYN-PWY	L-threonine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=HOMOSER-THRESYN-PWY
PWY-6064	methylquercetin biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6064
PWY-5783	octaprenyl diphosphate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5783
PWY-6395	superpathway of seleno-compound metabolism	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6395
PWY-5034	GA12 biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5034
PWY-6303	methyl indole-3-acetate interconversion	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6303
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ILEUSYN-PWY
PWY-4302	aerobic respiration III (alternative oxidase pathway)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4302
PWY-63	UDP-beta-L-arabinose biosynthesis I (from UDP-alpha-D-xylose)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-63
PWY-7208	superpathway of pyrimidine nucleobases salvage	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7208
PWY-5481	pyruvate fermentation to (S)-lactate	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5481
PWY-5661	GDP-glucose biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5661
PWY-702	L-methionine biosynthesis II (plants)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-702
PWY-5027	phylloquinol biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5027
PWY-5946	delta-carotene biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5946
ALANINE-SYN2-PWY	L-alanine biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ALANINE-SYN2-PWY
PWY-5807	heptaprenyl diphosphate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5807
PWY-6803	phosphatidylcholine acyl editing	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6803
PWY-181	photorespiration	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-181
PWY-5381	pyridine nucleotide cycling (plants)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5381
PWYQT-4450	"aliphatic glucosinolate biosynthesis, side chain elongation cycle"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-4450
PWY1F-FLAVSYN	flavonoid biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY1F-FLAVSYN
PWY4FS-12	VTC2 cycle	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY4FS-12
PWY-5079	L-phenylalanine degradation III	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5079
HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=HEME-BIOSYNTHESIS-II
PWY-2181	free phenylpropanoid acid biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-2181
PWY-5147	oleate biosynthesis I (plants)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5147
PWY-7901	glucosinolate biosynthesis from tyrosine	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7901
PWY-4221	superpathway of coenzyme A biosynthesis II (plants)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4221
GLUTAMATE-SYN2-PWY	L-glutamate biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=GLUTAMATE-SYN2-PWY
PWY-5097	L-lysine biosynthesis VI	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5097
PWY-8024	4-hydroxyindole-3-carbonyl nitrile biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-8024
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-882
ARGDEG-V-PWY	L-arginine degradation X (arginine monooxygenase pathway)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=ARGDEG-V-PWY
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7197
PWY-6118	glycerol-3-phosphate shuttle	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6118
PWY-1422	vitamin E biosynthesis (tocopherols)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-1422
PWY-5692	allantoin degradation to glyoxylate II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5692
PWY-6931	seleno-amino acid detoxification and volatilization I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6931
PWY-6442	spermidine hydroxycinnamic acid conjugates biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6442
PWY-5115	GDP-L-galactose biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5115
PWYQT-4433	CA1P biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-4433
PWY-7101	5-deoxystrigol biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7101
PWY-6477	gibberellin inactivation II (methylation)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6477
PWY-6607	guanosine nucleotides degradation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6607
PWY-4203	volatile benzenoid biosynthesis I (ester formation)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4203
PWY-5669	phosphatidylserine and phosphatidylethanolamine biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5669
GLUCONEO-PWY	gluconeogenesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=GLUCONEO-PWY
PWY-5098	chlorophyll a degradation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5098
PWY-5203	soybean saponin I biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5203
PWY-5659	GDP-mannose biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5659
PWY-6762	salicylate glucosides biosynthesis IV	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6762
PWY-5837	"2-carboxy-1,4-naphthoquinol biosynthesis"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5837
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7206
PWY-7219	adenosine ribonucleotides de novo biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7219
TRESYN-PWY	trehalose biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=TRESYN-PWY
PWY-4821	UDP-alpha-D-xylose biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4821
PWY-5391	syringetin biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5391
PWY-7436	vitamin E biosynthesis (tocotrienols)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7436
PWY-6936	seleno-amino acid biosynthesis (plants)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6936
PWY-6234	superpathway of jasmonoyl-amino acid conjugates biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6234
PWY-6030	serotonin and melatonin biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6030
PWY-7388	"octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7388
PWY-735	jasmonic acid biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-735
NONMEVIPP-PWY	methylerythritol phosphate pathway I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=NONMEVIPP-PWY
PWY-5035	gibberellin biosynthesis III (early C-13 hydroxylation)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5035
PWY-6199	quercetin sulfate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6199
PWY-8011	L-serine biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-8011
PWY-6736	sulfur volatiles biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6736
PWY-5366	palmitoleate biosynthesis II (plants and bacteria)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5366
PWY-5997	alpha-linolenate biosynthesis I (plants and red algae)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5997
PWY-5691	urate conversion to allantoin I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5691
PWY-5036	gibberellin biosynthesis II (early C-3 hydroxylation)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5036
PWY-7071	steviol glucoside biosynthesis (rebaudioside A biosynthesis)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7071
PWY-4081	glutathione-peroxide redox reactions	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4081
PWY-2902	cytokinin-O-glucosides biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-2902
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-1801
PWY-922	mevalonate pathway I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-922
PWY-2821	glucosinolate biosynthesis from phenylalanine	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-2821
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5188
PWY-5125	anthocyanin biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5125
HOMOSERSYN-PWY	L-homoserine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=HOMOSERSYN-PWY
PWY-3041	monoterpene biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-3041
PWYQT-4472	glucosinolate biosynthesis from trihomomethionine	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-4472
PWY-7238	sucrose biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7238
GLUTSYNIII-PWY	L-glutamate biosynthesis III	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=GLUTSYNIII-PWY
PWY-5886	4-hydroxyphenylpyruvate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5886
PWY-4221ARA	superpathway of pantothenate and coenzymeA biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4221ARA
PWY-7861	L-pipecolate biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-7861
PWY-6773	"1,3-beta-D-glucan biosynthesis"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6773
PWY-2161B	glutamate removal from folates	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-2161B
PWY-401	galactolipid biosynthesis I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-401
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=POLYAMINSYN3-PWY
THRESYN-PWY	superpathway of L-threonine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=THRESYN-PWY
GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=GLUT-REDOX-PWY
VALDEG-PWY	L-valine degradation I	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=VALDEG-PWY
PWY-5137	"fatty acid beta-oxidation III (unsaturated, odd number)"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5137
PWY-5321	quercetin glycoside biosynthesis (Arabidopsis)	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5321
PWY-5041	S-adenosyl-L-methionine cycle II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5041
PWY-5905	hypusine biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-5905
PWYQT-4471	glucosinolate biosynthesis from dihomomethionine	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWYQT-4471
PWY-6554	"1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6554
PWY-6577	farnesylcysteine salvage pathway	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6577
PWY-4041	gamma-glutamyl cycle	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-4041
PWY-6233	jasmonoyl-amino acid conjugates biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6233
PWY-6663	plant sterol biosynthesis II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6663
PWY-6051	"2,4,6-trinitrotoluene degradation"	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6051
PWY-6605	adenine and adenosine salvage II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6605
DETOX1-PWY	superoxide radicals degradation	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=DETOX1-PWY
PWY-6457	cinnamoyl-CoA biosynthesis	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6457
PWY-6927	chlorophyll a degradation II	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-6927
PWY-801	homocysteine and cysteine interconversion	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-801
PWY-46	putrescine biosynthesis III	HTTP://localhost:1555/ARA/NEW-IMAGE?type=PATHWAY&object=PWY-46
