Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Ontology_parents_of_class	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway
PWY-6007	EPOXYSQUALENE // CPD-8844 // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-21324 // CPD-10307 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	AT4G15340-MONOMER	AT4G15340	DMNT-Biosynthesis	RXN-19692 // RXN-9684	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // EPOXYSQUALENE	CPD-21324 // Ox-NADPH-Hemoprotein-Reductases // CPD-8844
PWY-7709	CPD-8996 // WATER // PPI // GERANYL-PP // CPD-4211 // DELTA3-ISOPENTENYL-PP	MONOMER-13458 // MONOMER2OL-32 // MONOMER-17883 // MONOMER-17882	G-10246 // G2OL-31 // G-15525 // G-15524	Linalool-Biosynthesis	GPPSYN-RXN // 4.2.3.26-RXN	CPD-4211 // DELTA3-ISOPENTENYL-PP // WATER	PPI // CPD-8996
PWY-7141	CPD-4211 // DELTA3-ISOPENTENYL-PP // PPI // CPD-8997 // GERANYL-PP // WATER	CPLX-8656 // MONOMER-13464	G-15940 // G-15939 // G-10250	Linalool-Biosynthesis	4.2.3.25-RXN // GPPSYN-RXN	WATER // CPD-4211 // DELTA3-ISOPENTENYL-PP	CPD-8997 // PPI
PWY-5928	Ox-NADPH-Hemoprotein-Reductases // WATER // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // PROTON // NADPH // CPD-1089 // CPD-10051 // NADP // PPI // CPD-4886 // GERANYL-PP	MONOMER-6743 // MONOMER-15424 // CPLX-4642 // MONOMER-6781 // MONOMER-6782	G-5223 // G-5209 // G-5262	MONOTERPENOID-SYN	4.2.3.16-RXN // CARVEOL-DEHYDROGENASE-RXN // --LIMONENE-6-MONOOXYGENASE-RXN	GERANYL-PP // NADP // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	PPI // CPD-1089 // NADPH // PROTON // WATER // Ox-NADPH-Hemoprotein-Reductases
PWY-7443	PPI // GERANYL-PP // WATER // NADP // CPD-8785 // NADPH // OXYGEN-MOLECULE // PROTON // NADH // CPD-10037 // CPD-260 // NAD	MONOMER-18462 // MONOMER-18461 // MONOMER-18463 // MONOMER-18464	G-17951	MONOTERPENOID-SYN	RXN-9397 // RXN-10746 // 4.2.3.20-RXN	NAD // NADPH // OXYGEN-MOLECULE // GERANYL-PP	CPD-10037 // CPD-10037 // NADH // NADP // WATER // PPI
PWY-5361	FERRICYTOCHROME-B5 // WATER // CPD-8171 // CPD-9965 // OXYGEN-MOLECULE // FERROCYTOCHROME-B5 // PROTON	MONOMER-12558	G-9643	Unsaturated-Fatty-Acids-Biosynthesis	RXN-8372	CPD-9965 // OXYGEN-MOLECULE // FERROCYTOCHROME-B5 // PROTON	CPD-8171 // WATER // FERRICYTOCHROME-B5
PWY-7590	Palmitoyl-lipid // CPD-17294 // Oxidized-ferredoxins // WATER // CPD-17292 // CPD-17293 // OXYGEN-MOLECULE // Reduced-ferredoxins // PROTON	AT3G15870-MONOMER // CPLX-1908 // MONOMER-14124 // CPLX-1903 // CPLX-1905 // CPLX-1906	AT3G15870 // AT3G15850 // G-10795 // AT2G29980 // AT3G11170 // AT5G05580	PUFA-Biosynthesis	RXN-16049 // RXN-16047 // RXN-16048	OXYGEN-MOLECULE // Reduced-ferredoxins // PROTON // Palmitoyl-lipid	CPD-17292 // WATER // Oxidized-ferredoxins
PWY-6668	PPI // GERANYLGERANYL-PP // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-8847 // CPD-8846 // CPD-8848 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	AT1G61120-MONOMER // AT3G25180-MONOMER	AT1G61120 // AT3G25180	Terpenoid-Biosynthesis	RXN-8620 // RXN-10441	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // GERANYLGERANYL-PP	CPD-8846 // CPD-8847 // Ox-NADPH-Hemoprotein-Reductases // PPI
PWY-7522	BERBERINE // NADP // R-CANADINE // CPD-16870 // NADPH // PROTON	MONOMER-18733		ISOQUINOLINE-ALKALOIDS	RXN-15641 // RXN-15640	NADPH // PROTON // BERBERINE	R-CANADINE // NADP
PWY-3581	S-NORCOCLAURINE // S-COCLAURINE // Ox-NADPH-Hemoprotein-Reductases // WATER // S-N-METHYLCOCLAURINE // Red-NADPH-Hemoprotein-Reductases // S-RETICULINE // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // 3-HYDROXY-N-METHYL-S-COCLAURINE // L-DIHYDROXY-PHENYLALANINE // CPD-5881 // DOPAMINE // TYRAMINE // CPD-14053 // OXYGEN-MOLECULE // HYDRPHENYLAC-CPD // CARBON-DIOXIDE // PROTON // P-HYDROXY-PHENYLPYRUVATE // GLT // TYR // 2-KETOGLUTARATE	MONOMER-8382 // MONOMER-12764 // CPLX-5002 // MONOMER-13859 // CPLX-5003 // CPLX-5004 // CPLX-5006 // MONOMER-8429 // CPLX-5021 // MONOMER-20684	G-6362 // G-9777 // G-6401 // G-10573 // D29811 // G-6404 // G-6405 // G-6406 // G-6421	S-Reticuline-Biosynthesis	TYROSINE-AMINOTRANSFERASE-RXN // 4.1.1.80-RXN // RXN-9978 // RXN-5861 // 2.1.1.116-RXN // 1.14.13.71-RXN // 2.1.1.140-RXN // 2.1.1.128-RXN // S-NORLAUDANOSOLINE-SYNTHASE-RXN // RXN66-221 // TYROSINE-DECARBOXYLASE-RXN	TYR // 2-KETOGLUTARATE // CPD-14053 // OXYGEN-MOLECULE // S-ADENOSYLMETHIONINE // Red-NADPH-Hemoprotein-Reductases	GLT // CARBON-DIOXIDE // CPD-5881 // ADENOSYL-HOMO-CYS // S-RETICULINE // WATER // Ox-NADPH-Hemoprotein-Reductases
PWY-6900	CPD-13606 // 2-AMINOACRYLATE // CPD-13605 // CPD-13604	MONOMER-16812 // MONOMER-16811		S-CONTAINING-SECONDARY-CMPD-SYN	RXN-12632 // RXN-12633	CPD-13604	2-AMINOACRYLATE // CPD-13606
PWY-6539	CPD-12487 // PROTON // NADH-P-OR-NOP // CPD-12490 // NAD-P-OR-NOP // CPD-12491 // CPD-12486 // AMMONIUM // PYRUVATE // 2-AMINOACRYLATE // WATER	MONOMER-15742 // MONOMER-13498	G-12094 // G-10279	S-CONTAINING-SECONDARY-CMPD-SYN	RXN-8899 // RXN-11524 // RXN-11526 // RXN-11525	CPD-12486 // NAD-P-OR-NOP	PYRUVATE // AMMONIUM // CPD-12490 // NADH-P-OR-NOP // PROTON // CPD-12487
PWY-5765	CPD-16 // CPD-9494 // ADENOSYL-HOMO-CYS // CPD-9500 // PROTON // S-ADENOSYLMETHIONINE // CPD-9499	MONOMER-13672 // MONOMER-13678 // MONOMER-13679 // MONOMER-13681 // MONOMER-13680	G-10428 // G-10439 // G-10440 // G-10442 // G-10441	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS	RXN-9022 // RXN-9021 // RXN-9020	S-ADENOSYLMETHIONINE // CPD-16	PROTON // CPD-9500 // ADENOSYL-HOMO-CYS
PWY-6773	UDP // 1-3-beta-D-Glucans // CPD-12575	OS06G0728800-MONOMER // OS06G0113150-MONOMER // OS01G0672500-MONOMER // OS02G0832500-MONOMER // OS01G0533100-MONOMER // OS03G0119500-MONOMER // OS06G0182300-MONOMER // OS06G0728902-MONOMER // MONOMERN7F-11486 // OS02G0247000-MONOMER // MONOMERN7F-11710 // OS03G0128200-MONOMER // MONOMERN7F-11802 // OS01G0533500-MONOMER // OS01G0533800-MONOMER // MONOMERN7F-12057 // OS01G0533000-MONOMER // AT1G05570-MONOMER // AT4G04970-MONOMER // AT2G31960-MONOMER // AT3G59100-MONOMER // AT3G14570-MONOMER // AT2G13680-MONOMER // AT2G36850-MONOMER // AT5G13000-MONOMER // AT4G03550-MONOMER // AT5G36870-MONOMER // AT3G14780-MONOMER // MONOMERQT-8792 // MONOMERQT-9038 // MONOMER-16406 // MONOMER-16408 // AT1G06490-MONOMER	OS06G0728800 // OS06G0113150 // OS01G0672500 // OS02G0832500 // OS01G0533100 // OS03G0119500 // OS06G0182300 // OS06G0728902 // OS02G0832400 // OS02G0247000 // OS03G0128100 // OS03G0128200 // OS01G0754200 // OS01G0533500 // OS01G0533800 // OS06G0112800 // OS01G0533000 // AT1G05570 // AT4G04970 // AT2G31960 // AT3G59100 // AT3G14570 // AT2G13680 // AT2G36850 // AT5G13000 // AT4G03550 // AT5G36870 // AT3G14780 // AT3G07160 // AT2G30680 // G-12677 // G-12679 // AT1G06490	Polysaccharides-Biosynthesis	13-BETA-GLUCAN-SYNTHASE-RXN	CPD-12575	UDP
PWY-5791	CHORISMATE // CARBON-DIOXIDE // ISOCHORISMATE // 2-KETOGLUTARATE // Pi // ADP // ATP // O-SUCCINYLBENZOATE // PYRUVATE // CPD-9923 // CPD-9924 // CO-A // DIHYDROXYNAPHTHOATE // WATER // CPD-9925 // PROTON // CPD-6972	MONOMER-13723 // AT1G74710-MONOMER // AT1G18870-MONOMER // MONOMER-13721 // MONOMER-11678 // MONOMER-11669 // AT1G30520-MONOMER // AT1G68890-MONOMER // AT1G48320-MONOMER // AT5G48950-MONOMER // AT1G68890-MONOMER // AT1G60550-MONOMER	AT1G74710 // AT1G18870 // AT1G30520 // AT1G68890 // AT1G48320 // AT5G48950 // AT1G68890 // AT1G60550	DHNA-Biosynthesis	NAPHTHOATE-SYN-RXN // RXN-9311 // RXN-9310 // RXN-7614 // O-SUCCINYLBENZOATE-COA-SYN-RXN // 2.5.1.64-RXN // ISOCHORSYN-RXN	ATP // 2-KETOGLUTARATE // CHORISMATE	DIHYDROXYNAPHTHOATE // PYRUVATE // ADP // Pi // CARBON-DIOXIDE
PWY-6361	MI-HEXAKISPHOSPHATE // INOSITOL-1456-TETRAKISPHOSPHATE // INOSITOL-1-4-5-TRISPHOSPHATE // ADP // CPD-1107 // PROTON // CPD-506 // ATP	MONOMERDQC-50989 // MONOMERDQC-51259 // OS04G0661200-MONOMER // MONOMERN7V-48176 // GLYMA.14G072200-MONOMER // GLYMA.09G206100-MONOMER // GLYMA.01G016700-MONOMER // GLYMA.04G030000-MONOMER // GLYMA.16G092200-MONOMER // CRE04.G229100-MONOMER // CRE04.G229000-MONOMER // MONOMERQT-9417 // AT1G22100-MONOMER // AT1G58643-MONOMER // AT1G58936-MONOMER // AT1G59312-MONOMER // MONOMER-10782 // AT5G42810-MONOMER // ZM00001D038079-MONOMER // ZM00001D008767-MONOMER // ZM00001D033144-MONOMER // ZM00001D014054-MONOMER // ZM00001D002922-MONOMER // ZM00001D016647-MONOMER // OS02G0523800-MONOMER // GLYMA.12G240900-MONOMER // CRE12.G555450-MONOMER // AT5G07370-MONOMER // AT5G61760-MONOMER // AT5G61760-MONOMER // AT5G07370-MONOMER	ZM00001D026514 // ZM00001D001974 // OS04G0661200 // GLYMA.06G030100 // GLYMA.14G072200 // GLYMA.09G206100 // GLYMA.01G016700 // GLYMA.04G030000 // GLYMA.16G092200 // CRE04.G229100 // CRE04.G229000 // AT1G59171 // AT1G22100 // AT1G58643 // AT1G58936 // AT1G59312 // AT5G42810 // ZM00001D038079 // ZM00001D008767 // ZM00001D033144 // ZM00001D014054 // ZM00001D002922 // ZM00001D016647 // OS02G0523800 // GLYMA.12G240900 // CRE12.G555450 // AT5G07370 // AT5G61760 // AT5G61760 // AT5G07370	Phytate-Biosynthesis	RXN-7184 // 2.7.1.127-RXN // 2.7.1.151-RXN // RXN-7162 // RXN-7163	ATP // INOSITOL-1-4-5-TRISPHOSPHATE // INOSITOL-1-4-5-TRISPHOSPHATE	PROTON // ADP // MI-HEXAKISPHOSPHATE
PWY-4661	MI-HEXAKISPHOSPHATE // CPD-6681 // CPD-1107 // CPD-178 // D-glucopyranose-6-phosphate // D-MYO-INOSITOL-34-BISPHOSPHATE // ADP // 1-L-MYO-INOSITOL-1-P // PROTON // MYO-INOSITOL // ATP	MONOMERDQC-50989 // MONOMERDQC-51259 // MONOMERQT-9417 // AT1G22100-MONOMER // AT1G58643-MONOMER // AT1G58936-MONOMER // AT1G59312-MONOMER // AT5G42810-MONOMER // AT2G43980-MONOMER // ZM00001D037822-MONOMER // ZM00001D030083-MONOMER // MONOMERDQC-45250 // ZM00001D045280-MONOMER // ZM00001D016470-MONOMER // ZM00001D015533-MONOMER // ZM00001D030194-MONOMER // ZM00001D025540-MONOMER // ZM00001D023783-MONOMER // ZM00001D033907-MONOMER // ZM00001D050510-MONOMER // MONOMERDQC-60862 // MONOMERDQC-61239 // ZM00001D011441-MONOMER // AT5G16760-MONOMER // AT4G33770-MONOMER // AT4G08170-MONOMER // MONOMER-10868 // MONOMERDQC-43085 // MONOMERDQC-51315 // MONOMERDQC-54049 // MONOMERDQC-54912 // MONOMERDQC-55587 // MONOMERDQC-55969 // MONOMERDQC-57659 // MONOMERDQC-59702 // AT5G10170-MONOMER // AT2G22240-MONOMER // AT4G39800-MONOMER // MONOMER-10801 // MONOMERDQC-47506 // AT5G58730-MONOMER // MONOMER-10821	ZM00001D026514 // ZM00001D001974 // AT1G59171 // AT1G22100 // AT1G58643 // AT1G58936 // AT1G59312 // AT5G42810 // AT2G43980 // ZM00001D037822 // ZM00001D030083 // ZM00001D021170 // ZM00001D045280 // ZM00001D016470 // ZM00001D015533 // ZM00001D030194 // ZM00001D025540 // ZM00001D023783 // ZM00001D033907 // ZM00001D050510 // ZM00001D047994 // ZM00001D033853 // ZM00001D011441 // AT5G16760 // AT4G33770 // AT4G08170 // G-8441 // ZM00001D036866 // ZM00001D037652 // ZM00001D023601 // ZM00001D028180 // ZM00001D030506 // ZM00001D045455 // ZM00001D048201 // ZM00001D014292 // AT5G10170 // AT2G22240 // AT4G39800 // G-8361 // ZM00001D033929 // AT5G58730 // G-8381	Phytate-Biosynthesis	MYO-INOSITOL-1-KINASE-RXN // RXN-7202 // MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN // 2.7.1.134-RXN // RXN-7203 // RXN-7204 // RXN-7163	MYO-INOSITOL // ATP // D-glucopyranose-6-phosphate	PROTON // ADP // MI-HEXAKISPHOSPHATE
PWY-6554	MI-HEXAKISPHOSPHATE // CPD-506 // INOSITOL-1-3-4-TRIPHOSPHATE // ADP // CPD-1107 // PROTON // CPD-505 // ATP	MONOMERQT-9417 // AT1G22100-MONOMER // AT1G58643-MONOMER // AT1G58936-MONOMER // AT1G59312-MONOMER // AT5G42810-MONOMER // AT2G43980-MONOMER // AT4G33770-MONOMER // AT4G08170-MONOMER // AT5G16760-MONOMER // AT5G61760-MONOMER // AT5G07370-MONOMER	AT1G59171 // AT1G22100 // AT1G58643 // AT1G58936 // AT1G59312 // AT5G42810 // AT2G43980 // AT4G33770 // AT4G08170 // AT5G16760 // AT5G61760 // AT5G07370	Phytate-Biosynthesis	2.7.1.140-RXN // 2.7.1.133-RXN // 2.7.1.139-RXN // RXN-7184 // RXN-7163	ATP // INOSITOL-1-3-4-TRIPHOSPHATE	PROTON // ADP // MI-HEXAKISPHOSPHATE
PWY-5912	PPI // Pi // ATP // MET // WATER // 5-METHYLTHIOADENOSINE // S-ADENOSYLMETHIONINE // GLT // CPD-463 // 2-KETOGLUTARATE // PROTON // NADH-P-OR-NOP // CPD-7228 // CPD-7227 // NAD-P-OR-NOP	ZM00001D024754-MONOMER // ZM00001D008175-MONOMER // MONOMERDQC-48610 // ZM00001D040697-MONOMER // MONOMERDQC-60732 // OS01G0207300-MONOMER // MONOMERN7F-10946 // OS01G0323600-MONOMER // OS01G0293000-MONOMER // OS07G0477250-MONOMER // MONOMER-13932 // ZM00001D047651-MONOMER // ZM00001D033496-MONOMER // ZM00001D022557-MONOMER // MONOMERDQC-55830 // ZM00001D047656-MONOMER // ZM00001D047658-MONOMER // ZM00001D012829-MONOMER // ZM00001D028887-MONOMER // ZM00001D013655-MONOMER // ZM00001D028888-MONOMER // OS07G0689600-MONOMER // OS03G0307300-MONOMER // OS03G0307200-MONOMER // MONOMER-13933 // MONOMER-13937 // MONOMER-13939 // MONOMER-13940 // ZM00001D007462-MONOMER // MONOMERDQC-45157 // MONOMERDQC-57115 // ZM00001D048736-MONOMER // MONOMERDQC-60607 // OS02G0302450-MONOMER // OS02G0302700-MONOMER // MONOMERN7F-11417 // OS11G0644800-MONOMER // OS11G0552000-MONOMER // OS02G0306401-MONOMER // OS02G0302200-MONOMER // MONOMER-13941 // MONOMER-13945 // MONOMER-13947 // MONOMERDQC-44552 // ZM00001D003524-MONOMER // ZM00001D025057-MONOMER // ZM00001D000060-MONOMER // MONOMERDQC-56955 // ZM00001D025533-MONOMER // ZM00001D005932-MONOMER // OS10G0113375-MONOMER // OS04G0167800-MONOMER // OS04G0447700-MONOMER // MONOMERN7F-11519 // OS10G0113000-MONOMER // OS04G0447600-MONOMER // OS03G0237100-MONOMER // OS10G0113723-MONOMER // OS10G0114300-MONOMER // MONOMERN7F-12091 // MONOMER-13951 // MONOMER-13967 // MONOMER-13968 // MONOMER-13969 // MONOMER-13970	ZM00001D024754 // ZM00001D008175 // ZM00001D010920 // ZM00001D040697 // ZM00001D009146 // OS01G0207300 // OS05G0135700 // OS01G0323600 // OS01G0293000 // OS07G0477250 // G-10634 // ZM00001D047651 // ZM00001D033496 // ZM00001D022557 // ZM00001D047639 // ZM00001D047656 // ZM00001D047658 // ZM00001D012829 // ZM00001D028887 // ZM00001D013655 // ZM00001D028888 // OS07G0689600 // OS03G0307300 // OS03G0307200 // G-10635 // G-10639 // G-10641 // G-10642 // ZM00001D007462 // ZM00001D016441 // ZM00001D053281 // ZM00001D048736 // ZM00001D053107 // OS02G0302450 // OS02G0302700 // OS06G0345200 // OS11G0644800 // OS11G0552000 // OS02G0306401 // OS02G0302200 // G-10643 // G-10647 // G-10649 // ZM00001D028360 // ZM00001D003524 // ZM00001D025057 // ZM00001D000060 // ZM00001D025528 // ZM00001D025533 // ZM00001D005932 // OS10G0113375 // OS04G0167800 // OS04G0447700 // OS10G0113900 // OS10G0113000 // OS04G0447600 // OS03G0237100 // OS10G0113723 // OS10G0114300 // OS10G0113100 // G-10664 // G-10665 // G-10666 // G-10667	Siderophores-Biosynthesis	1.1.1.285-RXN // 2.6.1.80-RXN // 2.5.1.43-RXN // S-ADENMETSYN-RXN	NADH-P-OR-NOP // 2-KETOGLUTARATE // ATP // MET // WATER	CPD-7227 // NAD-P-OR-NOP // GLT // 5-METHYLTHIOADENOSINE // Pi // PPI
PWY-6035	CPD-591 // CPD-7630 // PELARGONIDIN-CMPD // CPD-10413 // PROTON // NADPH // CPD-7090 // CPD-10411 // NADP	MONOMER-14199 // AT1G61720-MONOMER	G-10846 // AT1G61720	FLAVONOL-SYN // Metabolic-Clusters	RXN-9723 // RXN-9724 // RXN-9725	CPD-10411 // NADP // CPD-10413 // CPD-7630	CPD-7090 // NADPH // PROTON // PELARGONIDIN-CMPD // CPD-591
